
mysql> SELECT Customer.c_name, Locker_room.*
Query OK, 1 row affected (0.00 sec)

    -> FROM Customer
    -> JOIN Rents ON Customer.customer_id = Rents.customer_id
    -> JOIN Locker_room ON Rents.space_id = Locker_room.space_id;
+-------------------------+----------+------------------------+----------------------------+
| c_name                  | space_id | total_rentable_lockers | lockers_available_for_rent |
| Melinda Davis           |       42 |                     28 |                         20 |
| Cassidy Hernandez       |       42 |                     28 |                         20 |
| Michael Howell          |       42 |                     28 |                         20 |
| Bryan Scott             |       43 |                     63 |                         14 |
| Harold Phillips         |       43 |                     63 |                         14 |
| Michael Dawson          |       43 |                     63 |                         14 |
| Miss Lisa Martin MD     |       43 |                     63 |                         14 |
| Danielle Garcia         |       43 |                     63 |                         14 |
| Tara Anderson           |       44 |                     30 |                         24 |
| David Oneal             |       44 |                     30 |                         24 |
| Joshua Lee              |       44 |                     30 |                         24 |
| Wendy Brown             |       44 |                     30 |                         24 |
| Chelsey Obrien          |       44 |                     30 |                         24 |
| Sarah Williams          |       44 |                     30 |                         24 |
| John Pham               |       45 |                     28 |                         22 |
| Sara Kim                |       45 |                     28 |                         22 |
| Corey Stevens           |       45 |                     28 |                         22 |
| Brittany Johnson        |       45 |                     28 |                         22 |
| Donna Hale              |       45 |                     28 |                         22 |
| Anthony Hicks           |       45 |                     28 |                         22 |
| Christina Kelly         |       45 |                     28 |                         22 |
| James Scott             |       45 |                     28 |                         22 |
| Joseph Thornton         |       45 |                     28 |                         22 |
| Richard Cook            |       45 |                     28 |                         22 |
| Phillip Vaughn          |       45 |                     28 |                         22 |
| Deborah Bradford        |       45 |                     28 |                         22 |
| Christopher Smith       |       46 |                     92 |                         32 |
| Eric Gordon             |       46 |                     92 |                         32 |
| Shane Davidson          |       46 |                     92 |                         32 |
| Paul Munoz              |       46 |                     92 |                         32 |
| Aaron Yoder             |       46 |                     92 |                         32 |
| Eric Miller             |       46 |                     92 |                         32 |
| Austin Woods            |       46 |                     92 |                         32 |
| Kelly Jones             |       46 |                     92 |                         32 |
| Leah James              |       46 |                     92 |                         32 |
| Frances Burton          |       47 |                     50 |                          1 |
| George Keller           |       48 |                     29 |                          5 |
| Christina Smith         |       48 |                     29 |                          5 |
| Linda Henderson         |       48 |                     29 |                          5 |
| Kyle Stuart             |       49 |                     49 |                         42 |
| Katelyn Smith           |       49 |                     49 |                         42 |
| Craig Norris            |       49 |                     49 |                         42 |
| Amanda Mercado          |       49 |                     49 |                         42 |
| Heather Johnson         |       49 |                     49 |                         42 |
| Jonathan Ryan Jr.       |       49 |                     49 |                         42 |
| Mathew Parker           |       49 |                     49 |                         42 |
| Joseph Cooper           |       49 |                     49 |                         42 |
| David Little            |       49 |                     49 |                         42 |
| Tracy Clark             |       49 |                     49 |                         42 |
| Samantha Hernandez      |       49 |                     49 |                         42 |
| Jeffrey Goodwin         |       49 |                     49 |                         42 |
| Barbara Horton          |       49 |                     49 |                         42 |
| Meghan Nichols          |       49 |                     49 |                         42 |
| Lisa Welch              |       49 |                     49 |                         42 |
| Robert Reed             |       49 |                     49 |                         42 |
| Johnathan Burch         |       49 |                     49 |                         42 |
| Matthew Strickland      |       50 |                     51 |                         23 |
| Haley Davis             |       50 |                     51 |                         23 |
| James Morris            |       50 |                     51 |                         23 |
| Carlos Webster          |       50 |                     51 |                         23 |
| Tyler Martin            |       50 |                     51 |                         23 |
| Jessica George          |       50 |                     51 |                         23 |
| Mike Garcia             |       50 |                     51 |                         23 |
| Jennifer Wood           |       50 |                     51 |                         23 |
| Anne Medina             |       50 |                     51 |                         23 |
| Jonathan Carroll MD     |       51 |                     86 |                          8 |
| Lacey Mitchell          |       51 |                     86 |                          8 |
| Donna Ortega            |       51 |                     86 |                          8 |
| Micheal Clarke          |       52 |                     61 |                         25 |
| John Campbell           |       52 |                     61 |                         25 |
| Catherine Mccormick     |       52 |                     61 |                         25 |
| Mariah Terry            |       52 |                     61 |                         25 |
| Allen Payne             |       52 |                     61 |                         25 |
| Sarah Miller            |       52 |                     61 |                         25 |
| Justin Garcia           |       52 |                     61 |                         25 |
| Samuel Lopez            |       52 |                     61 |                         25 |
| Steven Morris           |       52 |                     61 |                         25 |
| Lori Bishop             |       52 |                     61 |                         25 |
| William Powell          |       53 |                     90 |                         11 |
| Natalie Newman          |       53 |                     90 |                         11 |
| Tracy Wright            |       53 |                     90 |                         11 |
| Victor Pierce           |       53 |                     90 |                         11 |
| Riley Clay              |       53 |                     90 |                         11 |
| Carolyn Jenkins         |       53 |                     90 |                         11 |
| Rhonda Chavez           |       54 |                     85 |                          2 |
| Jasmine Bailey          |       54 |                     85 |                          2 |
| Samuel Shepard          |       55 |                     53 |                         37 |
| Mr. Vincent Brown       |       55 |                     53 |                         37 |
| Charles Kidd            |       55 |                     53 |                         37 |
| Sharon May              |       55 |                     53 |                         37 |
| Laura Miles             |       55 |                     53 |                         37 |
| John Hernandez          |       56 |                     64 |                         43 |
| Justin Hays             |       56 |                     64 |                         43 |
| Kyle Williams           |       56 |                     64 |                         43 |
| Alexander Wright        |       56 |                     64 |                         43 |
| Donald Campbell         |       56 |                     64 |                         43 |
| Michelle Flowers        |       57 |                     91 |                         27 |
| Mindy Carter            |       57 |                     91 |                         27 |
| Jo Bush                 |       57 |                     91 |                         27 |
| James Hood              |       57 |                     91 |                         27 |
| Judith Phillips         |       57 |                     91 |                         27 |
| Michael Weaver          |       57 |                     91 |                         27 |
| Logan Walton            |       57 |                     91 |                         27 |
| Jeremy Bailey           |       57 |                     91 |                         27 |
| Tina Harris             |       59 |                     81 |                         27 |
| Brittany Medina         |       59 |                     81 |                         27 |
| Daniel Christensen      |       59 |                     81 |                         27 |
| Caitlin Fletcher        |       59 |                     81 |                         27 |
| Amy Burns               |       59 |                     81 |                         27 |
| Thomas Wilkins          |       59 |                     81 |                         27 |
| Holly Hayes             |       64 |                     48 |                         47 |
| Jennifer King           |       64 |                     48 |                         47 |
| Joshua Young            |       64 |                     48 |                         47 |
| Anita Hernandez         |       64 |                     48 |                         47 |
| Tonya Hamilton          |       64 |                     48 |                         47 |
| Jason Foley             |       64 |                     48 |                         47 |
| Cameron Mayo            |       64 |                     48 |                         47 |
| Joshua Martinez         |       64 |                     48 |                         47 |
| William Johnson         |       64 |                     48 |                         47 |
| Aaron Duncan            |       64 |                     48 |                         47 |
| Kevin Richmond          |       64 |                     48 |                         47 |
| William Ayala           |       64 |                     48 |                         47 |
| Shawn Randall           |       71 |                     67 |                         10 |
| Michelle Hubbard        |       71 |                     67 |                         10 |
| Steven Adams            |       71 |                     67 |                         10 |
| Rachel Carter           |       71 |                     67 |                         10 |
| Cheyenne Smith          |       71 |                     67 |                         10 |
| Erin Owens              |       72 |                     57 |                         10 |
| Eric Davidson           |       72 |                     57 |                         10 |
| Marissa Cortez          |       72 |                     57 |                         10 |
| Stacy Owens             |       72 |                     57 |                         10 |
| Maria Olsen             |       76 |                     90 |                         13 |
| Carlos Wade             |       76 |                     90 |                         13 |
| Sarah Yates             |       76 |                     90 |                         13 |
| Christian Garcia        |       88 |                     91 |                         49 |
| Peggy Patterson         |       88 |                     91 |                         49 |
| Erica Daniel            |       88 |                     91 |                         49 |
| Rhonda Simpson          |       88 |                     91 |                         49 |
| Brandon Wilson          |       88 |                     91 |                         49 |
| Kristen Rodriguez       |       88 |                     91 |                         49 |
| Breanna Fry             |       88 |                     91 |                         49 |
| Sandra Salinas          |       88 |                     91 |                         49 |
| Anthony Phelps          |       88 |                     91 |                         49 |
| Michael Stewart         |       88 |                     91 |                         49 |
| Spencer Williams        |       88 |                     91 |                         49 |
| Jill Johnson            |       90 |                     57 |                         30 |
| Benjamin Murray         |       90 |                     57 |                         30 |
| Patricia Anderson       |       90 |                     57 |                         30 |
| Kenneth Cole            |       90 |                     57 |                         30 |
| Alexander Dalton        |       90 |                     57 |                         30 |
| Laura Miller            |       91 |                     93 |                          8 |
| Nicholas Armstrong      |       91 |                     93 |                          8 |
| Karen Johnson           |       91 |                     93 |                          8 |
| Raymond Avila           |       91 |                     93 |                          8 |
| David Herrera           |       91 |                     93 |                          8 |
| Amy Blair               |       91 |                     93 |                          8 |
| Sarah Smith             |       91 |                     93 |                          8 |
| Allen Sanders           |       92 |                     89 |                         48 |
| Sylvia Holland          |       92 |                     89 |                         48 |
| Henry Sawyer            |       92 |                     89 |                         48 |
| Barbara Harris          |       92 |                     89 |                         48 |
| Robert Thompson         |       92 |                     89 |                         48 |
| James Morgan            |       92 |                     89 |                         48 |
| Samantha Pena           |       92 |                     89 |                         48 |
| Kenneth Robbins         |       92 |                     89 |                         48 |
| Joseph Oneill           |       92 |                     89 |                         48 |
| Andrew Haney            |       92 |                     89 |                         48 |
| Angela Deleon           |       92 |                     89 |                         48 |
| Veronica Perez          |       92 |                     89 |                         48 |
| Jennifer Long           |       92 |                     89 |                         48 |
| Susan Montes            |       93 |                     39 |                         10 |
| Patrick Griffin         |       93 |                     39 |                         10 |
| Ricky Morris            |       93 |                     39 |                         10 |
| Laura Garcia            |       93 |                     39 |                         10 |
| Jennifer Robles         |       93 |                     39 |                         10 |
| Michael Johnson         |       93 |                     39 |                         10 |
| David Collier           |       94 |                     70 |                         48 |
| Brent Clarke DVM        |       94 |                     70 |                         48 |
| Kurt Moore              |       94 |                     70 |                         48 |
| Ashley Osborn           |       94 |                     70 |                         48 |
| Mr. Frank Jackson DDS   |       94 |                     70 |                         48 |
| Taylor Thompson         |       94 |                     70 |                         48 |
| Paul Sanchez            |       94 |                     70 |                         48 |
| Lauren Moreno           |       94 |                     70 |                         48 |
| Michael Perry           |       94 |                     70 |                         48 |
| Randy Cross             |       95 |                     66 |                         35 |
| Mrs. Jessica Wood       |       95 |                     66 |                         35 |
| Mary House              |       95 |                     66 |                         35 |
| Paula Summers           |       95 |                     66 |                         35 |
| Rebecca Hanson          |       95 |                     66 |                         35 |
| Lisa Shaw               |       95 |                     66 |                         35 |
| Damon Smith             |       95 |                     66 |                         35 |
| Terry Phelps            |       95 |                     66 |                         35 |
| Sharon Alexander        |       95 |                     66 |                         35 |
| Beverly Downs           |       95 |                     66 |                         35 |
| Mark Lawson             |       95 |                     66 |                         35 |
| Amber Rodriguez         |       96 |                     88 |                         38 |
| Lisa Dodson             |       96 |                     88 |                         38 |
| Kristin Dominguez       |       96 |                     88 |                         38 |
| Carlos Griffith         |       96 |                     88 |                         38 |
| Juan Rodgers            |       96 |                     88 |                         38 |
| Christopher Thomas      |       96 |                     88 |                         38 |
| Zachary Chan            |       96 |                     88 |                         38 |
| James Crawford          |       96 |                     88 |                         38 |
| Sara Harris             |       97 |                     65 |                         31 |
| Patrick Cuevas          |       97 |                     65 |                         31 |
| Hailey Patel            |       97 |                     65 |                         31 |
| Daniel Santos           |       97 |                     65 |                         31 |
| Claudia Clark           |       97 |                     65 |                         31 |
| Melissa Schneider       |       97 |                     65 |                         31 |
| Zachary Hull            |       97 |                     65 |                         31 |
| Shelby Garcia           |       97 |                     65 |                         31 |
| Jennifer Jennings       |       97 |                     65 |                         31 |
| Jeremy Price            |       97 |                     65 |                         31 |
| Katie Greene            |       98 |                     35 |                         33 |
| Nicholas Smith          |       98 |                     35 |                         33 |
| Alejandra Miller        |       98 |                     35 |                         33 |
| Adam Hendrix            |       98 |                     35 |                         33 |
| Paige Bell              |       98 |                     35 |                         33 |
| Melissa Jones           |       98 |                     35 |                         33 |
| Tamara Murphy           |       98 |                     35 |                         33 |
| Tanya Whitehead         |       99 |                     38 |                         12 |
| Gregory Ramirez         |       99 |                     38 |                         12 |
| Dominique Thomas        |       99 |                     38 |                         12 |
| Kristin Hahn            |       99 |                     38 |                         12 |
| Preston Foster          |       99 |                     38 |                         12 |
| Cathy Oliver            |       99 |                     38 |                         12 |
| Elizabeth Moore         |       99 |                     38 |                         12 |
| Heather Hawkins         |       99 |                     38 |                         12 |
| James Hardy             |      104 |                     45 |                          5 |
| Lisa Hart               |      104 |                     45 |                          5 |
| Tonya Good              |      104 |                     45 |                          5 |
| Teresa Mcmillan         |      104 |                     45 |                          5 |
| Timothy Larson          |      106 |                     35 |                          3 |
| Jasmine Tucker          |      130 |                     70 |                         35 |
| Melvin Harrington       |      130 |                     70 |                         35 |
| Mr. Matthew Yang DVM    |      130 |                     70 |                         35 |
| Marcus Hess             |      130 |                     70 |                         35 |
| Antonio Chandler        |      130 |                     70 |                         35 |
| Brittany Vasquez        |      130 |                     70 |                         35 |
| Charles Mooney          |      130 |                     70 |                         35 |
| Patricia Charles        |      130 |                     70 |                         35 |
| Ethan Rodriguez         |      130 |                     70 |                         35 |
| James Hernandez         |      130 |                     70 |                         35 |
| John Russell            |      130 |                     70 |                         35 |
| Garrett Martin          |      130 |                     70 |                         35 |
| Karen Anderson          |      130 |                     70 |                         35 |
| Craig Webster           |      136 |                     47 |                          2 |
| Heather Lowe            |      155 |                     49 |                         37 |
